Textbox_UWAGA2,Textbox_PARAMETRY
WSKAŹNIKI CEN TOWARÓW I USŁUG KONSUMPCYJNYCH - MIESIĘCZNIE,"Rok: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022
Miesiąc: I, II, III, IV, V, VI, VII, VIII, IX, X, XI, XII
Jednostka terytorialna: Polska
Rodzaj informacji: okres poprzedni = 100"

Textbox28,Textbox76,Textbox78,Textbox82
Tablica,Wykres,Mapa,Metadane

Textbox5,Textbox1,TOWARY_I_USŁUGI_KONSUMPCYJNE2,GRUPY_GOSPODARSTW_DOMOWYCH_PUBL,KOD_ROK_MIESIAC_RZYM,WARTOSC_OST_blok21,Textbox8,UDZIAL_SZACUNKOW_Blok2,Textbox9,GL_METODA_SZACUNKU_Blok2,Textbox10,METODY_SZACUNKU_Blok2
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 I,"101,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 II,"100,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 III,"101,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 IV,"102,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 V,"102,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 VI,"100,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 VII,"100,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 VIII,"98,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 IX,"99,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 X,"100,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 XI,"100,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2010 XII,"104,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2011 I,"102,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2011 II,"98,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2011 III,"103,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2011 IV,"103,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2011 V,"100,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2011 VI,"99,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2011 VII,"100,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2011 VIII,"101,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2011 IX,"98,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2011 X,"102,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2011 XI,"102,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2011 XII,"101,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2012 I,"102,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2012 II,"100,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2012 III,"101,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2012 IV,"101,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2012 V,"99,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2012 VI,"99,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2012 VII,"97,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2012 VIII,"101,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2012 IX,"102,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2012 X,"99,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2012 XI,"96,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2012 XII,"98,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2013 I,"98,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2013 II,"101,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2013 III,"101,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2013 IV,"99,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2013 V,"96,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2013 VI,"101,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2013 VII,"102,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2013 VIII,"100,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2013 IX,"101,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2013 X,"97,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2013 XI,"97,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2013 XII,"100,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2014 I,"98,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2014 II,"100,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2014 III,"100,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2014 IV,"99,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2014 V,"100,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2014 VI,"100,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2014 VII,"101,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2014 VIII,"98,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2014 IX,"98,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2014 X,"99,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2014 XI,"96,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2014 XII,"94,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2015 I,"93,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2015 II,"98,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2015 III,"104,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2015 IV,"101,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2015 V,"101,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2015 VI,"102,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2015 VII,"102,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2015 VIII,"97,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2015 IX,"94,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2015 X,"96,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2015 XI,"99,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2015 XII,"97,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2016 I,"95,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2016 II,"97,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2016 III,"101,1",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2016 IV,"103,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2016 V,"104,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2016 VI,"102,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2016 VII,"98,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2016 VIII,"97,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2016 IX,"102,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2016 X,"101,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2016 XI,"99,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2016 XII,"104,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2017 I,"100,7",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2017 II,"100,3",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2017 III,"98,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2017 IV,"99,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2017 V,"98,4",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2017 VI,"96,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2017 VII,"98,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2017 VIII,"102,0",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2017 IX,"103,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2017 X,"99,5",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2017 XI,"102,8",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2017 XII,"99,2",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2018 I,"100,9",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
Towary i usługi konsumpcyjne,Grupy gospodarstw domowych,Benzyna,O G Ó Ł E M,2018 II,"98,6",Udział szacunków,,Główna metoda szacunku,,Metody szacunku,
